forecast_origin,horizon,Output growth rate,Consumption growth rate,Investment growth rate,log Hours worked,Inflation,Wage growth rate,Federal funds rate
49,16,0.297072731407458,0.379452990608018,0.087316636889702,0.889216865196142,0.443774518890885,0.258605864747128,0.997709750832535
50,1,-0.229967041049527,0.0871886111618823,-0.885028957948961,0.355821714057812,0.466690861771232,-0.0632200747194819,1.05357195564615
50,2,-0.0322422367118917,0.158037459259821,-0.300534329586592,0.289865781601439,0.477620129440706,-0.0496593317047466,1.08753401586316
50,3,0.0742417804768813,0.190187092273363,0.0213863097144734,0.286441133275215,0.476266157717713,-0.0341646696737356,1.11052621539009
50,4,0.133419113398873,0.208102163249336,0.189524022912857,0.312276638170992,0.470564789361865,-0.0156825236546024,1.12781836028054
50,5,0.16739786757873,0.221221567561453,0.267554081084522,0.34987575756944,0.463347177892416,0.00484209374635053,1.14188261740489
50,6,0.187830642744974,0.232981757654331,0.293735479526987,0.390134397605665,0.455823232123784,0.0263412013178832,1.15388666936011
50,7,0.201080947306522,0.244471685915569,0.291353549819275,0.428544210974899,0.44861250349775,0.0480224408135432,1.16440250888667
50,8,0.210689728544662,0.255900819889011,0.274577905458232,0.463143282507056,0.442069651663614,0.0693732012172002,1.17373627520455
50,9,0.218621293103838,0.267179331440785,0.251912813849634,0.493364551881755,0.436401231720508,0.0900849907526658,1.18207828962363
50,10,0.225930778968097,0.278140910378267,0.228308055119508,0.519371174440576,0.431716824348991,0.109981957114779,1.18956908028802
50,11,0.233141702948114,0.288623842731659,0.206484985866516,0.541669284354005,0.428057080986207,0.128969765343301,1.19632685555801
50,12,0.240468977993185,0.298497167667312,0.187783088625065,0.560884931751894,0.425412239501481,0.147002926054624,1.20245777753772
50,13,0.247954422442414,0.307666285848249,0.172704236319864,0.577640516947916,0.423735902374278,0.16406526197669,1.20805895166113
50,14,0.255550032967138,0.316071281404986,0.161262294080499,0.592491997121023,0.422955984066356,0.180158777267995,1.21321865801687
50,15,0.263168804569337,0.323682886931427,0.153205737478681,0.605902858839404,0.422983662793936,0.195297519936965,1.21801582281049
50,16,0.270714872337137,0.330497837761206,0.148156946162015,0.618239656020916,0.423720729471273,0.209504212160298,1.2225195518291
51,1,0.536360908751135,0.304422596451577,1.79034200001503,0.290531673668931,0.648189581059925,0.396051998311803,0.996408413546435
51,2,0.449919758598698,0.38114746837918,1.22688882670108,0.47416000561208,0.725411713941104,0.3677305544213,1.01787782876202
51,3,0.338054672528185,0.376147997723624,0.780336814142262,0.577367130237839,0.74592374302865,0.327775792706692,1.04006509221041
51,4,0.242930197996314,0.349686898836135,0.45063581450758,0.612317942303791,0.738393587413389,0.291980279381527,1.05966667200213
51,5,0.175524715201797,0.324496345235944,0.220330102990278,0.597815660701692,0.715829963092972,0.26494312054027,1.07538480460221
51,6,0.135287083586762,0.307969177300611,0.0689721418340016,0.55195737706651,0.685619192088082,0.24729362765096,1.08693090517733
51,7,0.117795833436386,0.301237921248077,-0.0221470328869415,0.489722932646609,0.652555605450028,0.238181021684751,1.09454628658652
51,8,0.117757161691134,0.302990385938587,-0.0687661591026776,0.422495536663232,0.619860734557815,0.236217767644792,1.0987417196783
51,9,0.130163941531987,0.311119633890525,-0.0836178057779403,0.358318419736444,0.589627350064206,0.239882563006913,1.10014338539588
51,10,0.150713543730548,0.323450940872702,-0.0767531494983388,0.302405010663305,0.563092225429375,0.24771197812188,1.09939823457583
51,11,0.175918012317587,0.338056219354889,-0.0559395811790508,0.257704353935112,0.540846448780425,0.258395595208262,1.09711636048957
51,12,0.20308231727086,0.353373593859754,-0.02704103543231,0.225438936948686,0.523010382081198,0.270819603499108,1.0938380512929
51,13,0.230225300934033,0.368230352499823,0.00564156363939616,0.205580790168119,0.509379423077673,0.284079692437634,1.09001778611296
51,14,0.255977457183391,0.381817083912751,0.0390717495074884,0.197253609579942,0.499542492005667,0.297474877718699,1.08601983793613
51,15,0.279472729231632,0.393638306573688,0.071218004244845,0.199059352919864,0.492975101081887,0.310489752851781,1.08212159132623
